Case #,Street #,Street,Category
18-010099,6512,BLANCHE DELL DR,"Marijuana, Dangerous Building"
18-008067,6565,BLANCHE DELL DR,"Dangerous Vacant Building, Marijuana"
18-009928,6584,BLANCHE DELL DR,"Marijuana, Dangerous Vacant Building"
18-003430,45,BLUE FERN CT,Substandard Building
18-010400,4,BOGLE CT,Dangerous Building
17-021852,200,BOMBAY CR,Marijuana
16-000601,656,BOWLES ST,"JFN, Dangerous Building, City Attorney"
16-000605,664,BOWLES ST,"JFN, Dangerous Building, City Attorney"
16-000609,670,BOWLES ST,"JFN, Dangerous Building, City Attorney"
17-000416,2745,BRANCH ST,Substandard Vacant Building
16-017888,2929,BRANCH ST,Substandard Building
18-010044,3031,BRANCH ST,Emergency On Call
18-008732,3151,BRANCH ST,Substandard Building
17-019103,3180,BRANCH ST,Dangerous Vacant Building
18-008737,3813,BRANCH ST,Substandard Vacant Building
18-009363,1,BRENTFORD CR,Dangerous Vacant Building
18-008245,5779,BRIDGECROSS DR,"Dangerous Building, Marijuana"
17-015391,6815,BRIGGS DR,Substandard Vacant Building
17-003655,1827,BROADWAY,Substandard Building
18-005099,4146,BROADWAY,
18-006332,6011,BROADWAY,Substandard Building
18-001855,3408,BROCKWAY CT,Complaint
18-007686,4175,BROOKFIELD DR,Complaint
18-004002,4524,BROOKFIELD DR,Substandard Building
18-004273,3071,BRUNNET LN,Substandard Building
17-025171,2206,BURBERRY WY,"Complaint, Marijuana"
18-008255,2016,BURNETT WY,Substandard Building
17-006306,3273,C ST,Dangerous Building
17-026688,4749,C ST,Substandard Building
14-020835,5221,CABRILLO WY,Substandard Building
18-009103,100,CADILLAC DR,Complaint
18-011891,8071,CALLE ROYALE WY,Complaint
18-011897,8071,CALLE ROYALE WY,Dangerous Building
18-009412,2284,CAMBRIDGE ST,"Emergency On Call, Substandard Building"
17-028364,3736,CAMERON RD,Substandard Vacant Building
16-004223,1471,CAMPBELL LN,Substandard Building
18-006841,2554,CANTARA CT,Marijuana
17-002807,1717,CAPITOL AV,Substandard Building
13-004068,7000,CARNATION AV,"HSG Boarded, HSG Fenced, Dangerous Vacant Building"
13-023007,2,CARTHAGE CT,Substandard Vacant Building
18-000387,6755,CASA DEL SOL WY,Dangerous Building
17-011128,5624,CAZADERO WY,Substandard Vacant Building
18-012113,4509,CEDARWOOD WY,Complaint
17-013069,62,CEDRO CR,"Substandard Vacant Building, Emergency On Call"
18-011752,8155,CENTER PKWY,Emergency On Call
18-003824,8159,CENTER PKWY,"Marijuana, Police Reports, Dangerous Vacant Building, JFN"
16-025909,1039,CLAIRE AV,"JFN, Substandard Vacant Building, City Attorney"
16-025678,1049,CLAIRE AV,"JFN, Substandard Building"
12-029093,2900,CLAY ST,Substandard Vacant Building
18-000899,3056,CLAY ST,Substandard Building
17-024178,3195,CLAY ST,Substandard Building
16-011437,3904,CLAY ST,Substandard Vacant Building
18-010258,410,CLEVELAND AV,Complaint
16-028987,8531,CLIFFWOOD WY,Substandard Vacant Building
17-012739,941,CONGRESS AV,Substandard Building
11-022243,7446,COSGROVE WY,"Dangerous Vacant Building, HSG Boarded, HSG Fenced, City Attorney"
18-009513,4630,COUNTRY SCENE WY,"Marijuana, Police Reports, Dangerous Vacant Building, JFN"
18-009160,4631,COUNTRY SCENE WY,"Police Reports, Dangerous Vacant Building, Marijuana, JFN"
18-009161,4661,COUNTRY SCENE WY,"Police Reports, Dangerous Vacant Building, Marijuana, JFN, HSG Boarded"
18-010423,4681,COUNTRY SCENE WY,"Marijuana, Dangerous Vacant Building"
18-001659,2544,CROSBY WY,Substandard Building
18-003229,4241,CUSTIS AV,Substandard Building
13-019862,2823,D ST,Substandard Building
18-009850,3135,D ST,Complaint
18-006158,4467,D ST,Substandard Building
18-008571,2615,D ST 9,Substandard Building
16-029412,4679,DANROTH DR,Substandard Vacant Building
18-006994,130,DANVILLE WY,Substandard Building
18-010127,7817,DEER CREEK DR,Vacant Building
17-023606,1811,DEL PASO BL,"Marijuana, Dangerous Building"
17-020679,3425,DEL PASO BL,Dangerous Vacant Building
18-009256,2873,"DEL PASO BL #A,B and E",Substandard Building
18-003716,2623,DEL PASO BL B,"Substandard Vacant Building, Substandard Building"
18-007311,4740,DEL RIO RD,"Junk & Debris, Dangerous Vacant Building"
18-005954,251,DEL VERDE CR 7,Substandard Building
17-022272,301,DEL VERDE CR 8,Dangerous Building
17-025167,1918,DELGADO WY,"Complaint, Marijuana"
16-009128,264,DELTA LEAF WY,Substandard Vacant Building
17-023681,6811,DEMARET DR,Complaint
16-024947,7696,DETROIT BL,Substandard Building
16-020353,7759,DETROIT BL,"Dangerous Vacant Building, HSG Boarded, HSG Fenced, FOCIS Case, City Attorney, JFN, DO NOT INVOICE"
17-027621,5635,DIGGER ST,Substandard Building
18-004078,7777,DIXIE LOU ST,"Police Reports, Emergency On Call, HSG Boarded, Substandard Building"
18-000245,733,DIXIEANNE AV,Substandard Building
18-005856,2307,DONNER PASS AV,"Dangerous Vacant Building, Emergency On Call, HSG Boarded"
18-010266,2516,DONNER WY,Substandard Building
17-016900,601,DOS RIOS ST,Vacant Building
16-009826,701,DOS RIOS ST,Substandard Vacant Building
18-008975,2239,DOWNAR WY,Substandard Building
18-003475,4732,DRY CREEK RD,Substandard Vacant Building
16-029080,4905,DRY CREEK RD,
17-028128,3801,DUCKHORN DR,Substandard Vacant Building
15-019220,1416,E ST,Substandard Vacant Building
15-009930,7511,EDDYLEE WY,"Dangerous Vacant Building, HSG Boarded, City Attorney"
17-018595,5135,EHRHARDT AV,Substandard Building
18-009129,5824,EHRHARDT AV,Substandard Building
13-016636,109,EL CAMINO AV,Substandard Building
